"","species","speed"
"1","paca",0.224999999999999
"2","paca",0.335999999999999
"3","paca",0.507272727272728
"4","peccary",0.294545454545455
"5","peccary",0.364285714285715
"6","paca",0.359999999999999
"7","brocket",1.125
"8","peccary",0.217894736842105
"9","paca",0.574615384615386
"10","brocket",2.16
"11","paca",0.292500000000001
"12","brocket",0.225
"13","brocket",0.289285714285713
"14","paca",0.18
"15","peccary",0.525
"16","peccary",0.380769230769232
"17","paca",0.155769230769231
"18","peccary",0.6075
"19","paca",0.173076923076924
"20","brocket",0.539999999999999
"21","paca",0.201
"22","peccary",0.321428571428572
"23","peccary",0.3375
"24","brocket",0.362999999999999
"25","peccary",0.975
"26","paca",0.605769230769233
"27","peccary",0.114545454545455
"28","paca",0.151363636363637
"29","paca",0.160714285714285
"30","paca",0.989999999999999
"31","paca",0.206250000000001
"32","peccary",0.24
"33","paca",0.0899999999999998
"34","paca",0.292500000000001
"35","peccary",2.88
"36","paca",0.0952941176470588
"37","paca",0.13875
"38","paca",0.200769230769231
"39","paca",0.155769230769231
"40","paca",0.387
"41","paca",0.225
"42","peccary",0.333
"43","peccary",0.398571428571427
"44","paca",0.425769230769232
"45","peccary",0.176785714285714
"46","peccary",0.18
"47","brocket",0.915
"48","paca",2.25
"49","paca",0.1321875
"50","paca",0.42
"51","peccary",1.02
"52","paca",0.95
"53","peccary",0.857142857142857
"54","peccary",1.38
"55","peccary",0.188571428571428
"56","brocket",0.105
"57","paca",0.787500000000001
"58","peccary",0.143076923076924
"59","paca",0.33
"60","paca",0.42
"61","paca",0.899999999999999
"62","paca",0.712500000000001
"63","brocket",0.500000000000001
"64","peccary",0.899999999999999
"65","brocket",0.45
"66","brocket",0.708750000000001
"67","peccary",0.0959999999999998
"68","brocket",0.27
"69","brocket",0.62142857142857
"70","peccary",0.2
"71","brocket",0.321818181818182
"72","brocket",0.282857142857142
"73","paca",0.154615384615385
"74","paca",0.1425
"75","paca",0.175
"76","brocket",1.09928571428571
"77","paca",0.36
"78","peccary",0.405
"79","paca",0.54
"80","paca",0.3375
"81","paca",0.405
"82","peccary",0.45
"83","peccary",0.779999999999999
"84","brocket",0.45
"85","peccary",0.685714285714286
"86","peccary",0.45
"87","peccary",0.728571428571428
"88","brocket",0.478125
"89","peccary",0.675
"90","peccary",0.9
"91","brocket",1.08
"92","peccary",2.04
"93","peccary",0.652500000000001
"94","peccary",0.164659090909091
"95","peccary",0.506250000000001
"96","peccary",0.506250000000001
"97","paca",0.1305
"98","peccary",0.353571428571428
"99","peccary",0.176785714285714
"100","brocket",0.0659999999999999
"101","peccary",0.504
"102","paca",0.235384615384616
"103","paca",0.125357142857143
"104","paca",0.276
"105","peccary",0.578571428571428
"106","paca",0.216
"107","paca",0.150882352941176
"108","peccary",0.0814285714285715
"109","paca",0.117
"110","peccary",2.325
"111","peccary",0.854999999999999
"112","peccary",0.809999999999999
"113","brocket",0.202500000000001
"114","paca",0.253125
"115","peccary",0.146785714285715
"116","peccary",0.086785714285714
"117","brocket",0.241071428571428
"118","paca",0.0644999999999999
"119","peccary",0.45
"120","peccary",0.495
"121","peccary",0.495
"122","paca",0.8625
"123","peccary",0.0287999999999999
"124","paca",0.5175
"125","peccary",0.31875
"126","brocket",0.0731249999999999
"127","brocket",0.205500000000001
"128","paca",0.243
"129","peccary",0.308571428571428
"130","paca",0.12323076923077
"131","paca",0.234
"132","peccary",0.120315789473684
"133","peccary",0.216
"134","paca",0.2592
"135","paca",0.405
"136","paca",0.742500000000001
"137","paca",0.324
"138","paca",0.195
"139","paca",0.288
