"","species","distance","intervals","avgduration","speed"
"1","agouti",0.2,1,0.888888888888889,0.225
"2","agouti",0.3,1,0.777777777777778,0.385714285714286
"3","coati",0.4,1,0.888888888888889,0.45
"4","ocelot",0.5,1,0.777777777777778,0.642857142857143
"5","agouti",0.6,1,0.888888888888889,0.675
"6","squirrel",0.14,1,1.44444444444444,0.0969230769230772
"7","agouti",0.45,1,0.666666666666667,0.675
"8","ocelot",0.33,1,0.666666666666667,0.495
"9","paca",0.35,1,1.55555555555556,0.224999999999999
"10","agouti",0.44,1,1.33333333333333,0.330000000000001
"11","agouti",0.66,1,2.22222222222222,0.297
"12","rat",0.63,1,1.22222222222222,0.515454545454546
"13","agouti",0.23,1,1.44444444444444,0.15923076923077
"14","tamandua",0.5,1,1.55555555555556,0.321428571428571
"15","agouti",0.35,1,0.555555555555556,0.629999999999999
"16","tamandua",0.41,1,2.55555555555556,0.160434782608695
"17","coati",0.46,1,2.44444444444444,0.188181818181819
"18","agouti",0.48,1,2.11111111111111,0.227368421052632
"19","agouti",0.48,1,2,0.24
"20","paca",0.56,1,1.66666666666667,0.335999999999999
"21","agouti",0.71,1,0.777777777777778,0.912857142857143
"22","agouti",0.38,1,1.33333333333333,0.285000000000001
"23","rat",0.43,1,0.555555555555556,0.773999999999999
"24","agouti",0.42,1,1.55555555555556,0.269999999999999
"25","rat",0.8,1,0.666666666666667,1.2
"26","agouti",0.4,1,0.555555555555556,0.719999999999999
"27","agouti",0.43,1,2.22222222222222,0.1935
"28","agouti",0.47,1,1.44444444444444,0.325384615384616
"29","agouti",3.5,1,2.44444444444444,1.43181818181818
"30","agouti",0.76,1,2.11111111111111,0.36
"31","paca",0.62,1,1.22222222222222,0.507272727272728
"32","peccary",0.72,1,2.44444444444444,0.294545454545455
"33","agouti",0.3,1,1.22222222222222,0.245454545454546
"34","rat",0.43,1,1,0.43
"35","agouti",0.5,1,0.888888888888889,0.5625
"36","agouti",0.97,1,0.777777777777778,1.24714285714286
"37","agouti",0.97,1,2.11111111111111,0.459473684210527
"38","agouti",0.34,1,2.22222222222222,0.153
"39","tamandua",0.5,1,2.44444444444444,0.204545454545455
"40","agouti",1.32,1,2.22222222222222,0.594000000000001
"41","agouti",0.72,1,1.66666666666667,0.431999999999999
"42","agouti",0.4,1,2.22222222222222,0.18
"43","agouti",0.72,1,1.44444444444444,0.49846153846154
"44","coati",0.8,1,2,0.4
"45","peccary",0.85,1,2.33333333333333,0.364285714285715
"46","rat",0.5,1,0.555555555555556,0.899999999999999
"47","agouti",0.39,1,2.55555555555556,0.152608695652174
"48","agouti",0.45,1,1.44444444444444,0.311538461538462
"49","ocelot",0.35,1,0.666666666666667,0.525
"50","agouti",0.36,1,2.44444444444444,0.147272727272728
"51","rat",0.48,1,1.55555555555556,0.308571428571428
"52","agouti",0.48,1,1.88888888888889,0.254117647058823
"53","agouti",0.52,1,0.444444444444444,1.17
"54","coati",0.53,1,0.888888888888889,0.59625
"55","ocelot",0.61,1,1.66666666666667,0.365999999999999
"56","agouti",0.83,1,2.11111111111111,0.393157894736842
"57","ocelot",1.28,1,1.66666666666667,0.767999999999998
"58","agouti",1.46,1,1.44444444444444,1.01076923076923
"59","ocelot",1.6,1,2,0.8
"60","agouti",1.68,1,2.33333333333333,0.720000000000001
"61","coati",2,1,0.888888888888889,2.25
"62","paca",0.6,1,1.66666666666667,0.359999999999999
