"","species","speed"
"1","agouti",0.225
"2","agouti",0.385714285714286
"3","coati",0.45
"4","agouti",0.675
"5","squirrel",0.0969230769230772
"6","agouti",0.675
"7","agouti",0.330000000000001
"8","agouti",0.297
"9","rat",0.515454545454546
"10","agouti",0.15923076923077
"11","agouti",0.629999999999999
"12","coati",0.188181818181819
"13","agouti",0.227368421052632
"14","agouti",0.24
"15","agouti",0.912857142857143
"16","agouti",0.285000000000001
"17","rat",0.773999999999999
"18","agouti",0.269999999999999
"19","rat",1.2
"20","agouti",0.719999999999999
"21","agouti",0.1935
"22","agouti",0.325384615384616
"23","agouti",1.43181818181818
"24","agouti",0.36
"25","agouti",0.245454545454546
"26","rat",0.43
"27","agouti",0.5625
"28","agouti",1.24714285714286
"29","agouti",0.459473684210527
"30","agouti",0.153
"31","agouti",0.594000000000001
"32","agouti",0.431999999999999
"33","agouti",0.18
"34","agouti",0.49846153846154
"35","coati",0.4
"36","rat",0.899999999999999
"37","agouti",0.152608695652174
"38","agouti",0.311538461538462
"39","agouti",0.147272727272728
"40","rat",0.308571428571428
"41","agouti",0.254117647058823
"42","agouti",1.17
"43","coati",0.59625
"44","agouti",0.393157894736842
"45","agouti",1.01076923076923
"46","agouti",0.720000000000001
"47","coati",2.25
"48","agouti",0.198
"49","agouti",0.183913043478261
"50","agouti",0.27409090909091
"51","agouti",0.553846153846156
"52","agouti",0.417857142857142
"53","agouti",0.75375
"54","squirrel",0.900000000000002
"55","agouti",0.27
"56","agouti",0.145714285714286
"57","agouti",0.252
"58","agouti",0.28
"59","agouti",0.445263157894737
"60","rat",0.359999999999999
"61","mouse",1.0125
"62","agouti",0.3
"63","agouti",0.384545454545455
"64","agouti",0.14
"65","squirrel",0.192857142857143
"66","agouti",0.207692307692308
"67","agouti",0.971999999999999
"68","agouti",0.175
"69","agouti",0.845999999999999
"70","agouti",1.38
"71","agouti",0.387692307692309
"72","agouti",0.34875
"73","agouti",0.45
"74","coati",0.208421052631579
"75","agouti",0.238846153846154
"76","agouti",0.665999999999999
"77","agouti",0.276923076923078
"78","agouti",0.192857142857143
"79","agouti",0.153
"80","agouti",0.654545454545456
"81","agouti",0.192857142857143
"82","rat",0.345000000000001
"83","squirrel",0.36
"84","rat",0.404999999999999
"85","agouti",0.1188
"86","agouti",0.580909090909092
"87","mouse",0.114545454545455
"88","agouti",0.175909090909091
"89","agouti",0.16875
"90","agouti",0.36
"91","agouti",0.225
"92","coati",0.45
"93","agouti",0.629999999999999
"94","agouti",0.35
"95","agouti",0.45
"96","coati",0.6
"97","agouti",0.45
"98","coati",0.809999999999999
"99","agouti",0.642857142857143
"100","agouti",0.707142857142857
"101","coati",0.707142857142857
"102","coati",1.67142857142857
"103","agouti",0.7
"104","agouti",0.7875
"105","agouti",1.35
"106","agouti",1.4625
"107","rat",0.28125
"108","rat",0.45
"109","squirrel",0.405
"110","agouti",0.604285714285713
"111","rat",0.378
"112","squirrel",0.276428571428571
"113","agouti",0.0832500000000001
"114","agouti",0.289285714285714
"115","rat",0.378
"116","rat",0.1575
"117","squirrel",0.45
"118","rat",0.148846153846154
"119","agouti",0.33
"120","coati",0.110454545454546
"121","agouti",0.34875
"122","mouse",0.186
"123","agouti",0.21
"124","agouti",0.315
"125","agouti",0.294545454545455
"126","coati",0.536538461538463
"127","agouti",0.324
"128","agouti",1.5075
"129","agouti",0.128863636363637
"130","agouti",0.423
"131","coati",0.198
"132","agouti",0.285000000000001
"133","coati",0.525
"134","rat",0.186428571428571
"135","agouti",0.141428571428572
"136","agouti",0.54
"137","squirrel",0.3075
"138","agouti",0.398571428571428
"139","agouti",0.190714285714286
"140","agouti",0.160714285714285
"141","agouti",3.33
"142","rat",1.134
