"X.2","X.1","X","id","camid","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","species","label","note","height","position","siteid","imgid","ImageWidth","ImageHeight","deployment","radius","angle","frame_count","deg","pixdiff","dist","timediff","time","speed","frames"
1307,1459,2895,2895,"CAM_50096","MathuAkru-2015-07-22_08-54-21-CAM50096.jpg",1203.608999,895.3237468,160,19,10,"2016:07:26 14:11:35","takin","movement","",NA,NA,"MAK_23","MAK_23 160",2048,1536,"MAK_23",8.70806859628039,0.087931338283768,2,5.03846568365991,77.6087230000001,0.339242943547699,2,2,0.16962147177385,10
1319,1489,2907,2907,"CAM_50097","MathuAkru-2015-07-19_11-12-22-CAM50097.jpg",466.4889088,1405.534766,120,20,10,"2016:07:26 14:50:23","himalayan black bear","movement","",NA,NA,"MAK_25","MAK_25 120",2048,1536,"MAK_25",1.89288243634148,-0.272941203559961,14,-15.6395309639858,245.027338345277,0.253157668976831,1,1,0.253157668976831,10
1329,1499,2917,2917,"CAM_50097","MathuAkru-2015-07-19_11-13-42-CAM50097.jpg",769.8962963,658.3940972,170,21,10,"2016:07:26 14:50:31","himalayan black bear","movement","obscured individual...doubuful",NA,NA,"MAK_25","MAK_25 170",2048,1536,"MAK_25",5.14397950507659,-0.124401777492246,24,-7.1282218503057,75.8518519,0.228481703760953,1,1,0.228481703760953,10
32,54,1620,1620,"CAM_50036","MathuAkru-2015-08-05_08-09-56-CAM50036.jpg",644.7407407,1017.17338,186,23,10,"2015:08:05 08:09:56","himalayan black bear","movement","",NA,NA,"MAK_29","MAK_29 186",2048,1536,"MAK_29",3.13467622260256,-0.187446117094797,4,-10.7406625095318,202.621659242647,0.475726687700536,11,11,0.0432478807000487,10
3,3,1591,1591,"CAM_50025","MathuAkru-2015-07-11_14-47-54-CAM50025.jpg",1318.526033,1114.542347,250,24,10,"2015:07:11 14:47:54","takin","movement","",NA,NA,"MAK_49","MAK_49 250",2048,1536,"MAK_49",4.46669727254056,0.145567339268344,1,8.34100854007611,1268.20123578206,3.31857214691216,1984398,1984398,1.67233193488008e-06,20
13,13,1601,1601,"CAM_50025","MathuAkru-2015-07-11_14-48-08-CAM50025.jpg",1370.950504,1394.139527,260,25,10,"2015:07:11 14:48:08","takin","movement","",NA,NA,"MAK_49","MAK_49 260",2048,1536,"MAK_49",2.33134759404647,0.171477750916133,1,9.82567512749444,3062.58145198582,4.12127256508933,1976766,1976766,2.08485605533954e-06,20
799,857,2387,2387,"CAM_50042","MathuAkru-2015-07-08_12-09-01-CAM50042.jpg",959.5259259,1131.709606,150,26,10,"2015:07:08 12:09:01","takin","movement","",NA,NA,"MAK_33","MAK_33 150",2048,1536,"MAK_33",3.80733599655849,-0.031865839915506,10,-1.8259126271585,547.121385396749,1.08054634440023,9,9,0.120060704933359,10
809,867,2397,2397,"CAM_50042","MathuAkru-2015-08-05_14-07-17-CAM50042.jpg",1573.925926,1274.311111,193,27,8,"2015:08:05 14:07:17","himalayan black bear","movement","",NA,NA,"MAK_33","MAK_33 193",2048,1536,"MAK_33",3.32772488320653,0.271796869794869,7,15.573960639246,533.559506530503,1.05657905249696,8,8,0.132072381562121,8
817,875,2405,2405,"CAM_50042","MathuAkru-2015-09-24_08-44-26-CAM50042.jpg",705.4222222,1027.792593,249,28,10,"2015:09:24 08:44:26","himalayan black bear","movement","",NA,NA,"MAK_33","MAK_33 249",2048,1536,"MAK_33",4.43413898980432,-0.157454738353698,15,-9.02215650766691,187.083181781074,0.648235902500759,9,9,0.0720262113889732,10
827,885,2415,2415,"CAM_50042","MathuAkru-2015-09-18_12-45-59-CAM50042.jpg",932.9777778,1456.355556,229,29,10,"2015:09:18 12:45:59","himalayan black bear","movement","",NA,NA,"MAK_33","MAK_33 229",2048,1536,"MAK_33",2.38622109257813,-0.0449870680869354,25,-2.5777590013814,264.128414572286,0.579750704272449,9,9,0.064416744919161,10
