"","species","speed"
"1","ocelot",0.642857142857143
"2","ocelot",0.495
"3","tamandua",0.321428571428571
"4","tamandua",0.160434782608695
"5","tamandua",0.204545454545455
"6","ocelot",0.525
"7","ocelot",0.365999999999999
"8","ocelot",0.767999999999998
"9","ocelot",0.8
"10","ocelot",0.27
"11","tamandua",1.188
"12","armadillo",0.505384615384617
"13","ocelot",0.433636363636364
"14","tamandua",0.3
"15","tamandua",0.39375
"16","ocelot",0.5625
"17","ocelot",0.228681818181819
"18","armadillo",0.202499999999999
"19","ocelot",0.19125
"20","armadillo",0.254999999999999
"21","ocelot",0.380769230769232
"22","armadillo",0.644999999999999
"23","armadillo",0.114545454545455
"24","tamandua",1.224
"25","armadillo",3.375
"26","opossum",0.266250000000001
"27","armadillo",0.128076923076923
"28","armadillo",0.18
"29","opossum",0.65
"30","ocelot",0.675
"31","armadillo",0.539999999999999
"32","ocelot",0.152727272727273
"33","ocelot",0.450000000000001
"34","ocelot",0.665999999999999
"35","tamandua",0.21
"36","ocelot",0.147272727272728
"37","tamandua",0.0795652173913042
"38","ocelot",0.315
"39","tamandua",0.170454545454546
"40","armadillo",0.0964285714285712
"41","armadillo",0.1325
"42","ocelot",0.578571428571428
"43","tamandua",0.405
"44","ocelot",0.695999999999999
"45","ocelot",0.514285714285714
"46","ocelot",0.64875
"47","tamandua",0.196875
"48","ocelot",0.342
"49","tamandua",0.257142857142857
"50","ocelot",0.27
"51","ocelot",0.652500000000002
"52","opossum",0.18
"53","tamandua",0.539999999999999
"54","opossum",0.378
"55","ocelot",0.228461538461539
"56","ocelot",0.248571428571428
"57","tamandua",0.385714285714286
"58","armadillo",0.990000000000001
"59","tamandua",0.294545454545455
"60","armadillo",0.630000000000001
"61","opossum",0.2088
"62","armadillo",0.630000000000001
"63","armadillo",0.36
"64","opossum",1.125
"65","armadillo",0.156
"66","ocelot",0.514285714285714
"67","tamandua",0.2175
"68","ocelot",0.1284
"69","opossum",0.618750000000001
"70","armadillo",1.0404
"71","tamandua",0.324
"72","tamandua",0.257142857142857
"73","ocelot",0.3168
"74","ocelot",0.48
"75","opossum",0.18
"76","opossum",0.2736
"77","armadillo",0.0729999999999998
"78","armadillo",0.683999999999999
"79","ocelot",0.688500000000001
"80","ocelot",0.4248
"81","armadillo",0.118125
"82","armadillo",1.035
"83","opossum",0.2196
"84","tamandua",0.192
"85","tamandua",0.4068
"86","tamandua",0.225
"87","ocelot",0.411
"88","opossum",0.437142857142857
"89","ocelot",0.466071428571429
"90","ocelot",0.342
"91","ocelot",0.19125
"92","ocelot",0.659999999999999
"93","ocelot",0.655714285714285
"94","armadillo",0.850500000000001
"95","tamandua",0.495000000000001
"96","opossum",0.175
"97","armadillo",0.27
"98","ocelot",0.225
"99","ocelot",0.102857142857143
"100","ocelot",0.21
"101","ocelot",0.2925
"102","ocelot",0.226285714285714
"103","opossum",0.0977142857142856
"104","opossum",0.49725
"105","ocelot",0.286071428571428
"106","tamandua",0.262499999999999
"107","ocelot",0.1845
"108","tamandua",0.0714285714285714
"109","tamandua",0.0714285714285714
"110","ocelot",0.2
"111","opossum",0.22
"112","armadillo",0.22
"113","armadillo",0.24
"114","ocelot",0.28
"115","ocelot",0.233333333333333
"116","ocelot",0.3
"117","armadillo",0.3
"118","opossum",0.3
"119","tamandua",0.4
"120","tamandua",0.257142857142857
"121","tamandua",0.38
"122","ocelot",0.475000000000001
"123","ocelot",0.333333333333333
"124","ocelot",0.550000000000001
"125","armadillo",0.559999999999999
"126","ocelot",0.425
"127","ocelot",0.787500000000001
"128","tamandua",0.2075
"129","armadillo",0.295
"130","armadillo",0.146
"131","ocelot",0.559999999999999
"132","ocelot",0.815625000000001
"133","tamandua",0.192
"134","ocelot",0.476
"135","ocelot",0.0811111111111111
"136","opossum",0.18
"137","ocelot",0.4375
"138","ocelot",0.470588235294117
"139","ocelot",0.0481818181818183
"140","opossum",0.128
"141","opossum",0.175
"142","tamandua",0.0568749999999999
"143","tamandua",0.46
"144","armadillo",0.13
"145","ocelot",0.318
"146","tamandua",0.040909090909091
"147","ocelot",0.666666666666666
"148","opossum",0.17
"149","armadillo",0.447187500000001
"150","tamandua",0.128571428571429
"151","armadillo",0.163076923076924
"152","ocelot",0.454
"153","ocelot",0.253125
"154","opossum",0.114
"155","ocelot",0.14175
"156","ocelot",0.55
"157","opossum",0.0199999999999999
"158","armadillo",0.592500000000001
"159","ocelot",0.619999999999999
"160","ocelot",0.831999999999999
"161","opossum",0.205
"162","ocelot",0.235
"163","ocelot",0.408333333333333
"164","ocelot",0.46
"165","tamandua",0.306
"166","ocelot",0.552857142857143
"167","ocelot",1.17
"168","ocelot",0.1836
"169","ocelot",0.388636363636364
"170","tamandua",0.460227272727273
"171","ocelot",0.1815
"172","armadillo",0.261818181818182
"173","ocelot",0.3
"174","armadillo",0.12625
"175","ocelot",0.773181818181819
"176","ocelot",0.1825
"177","ocelot",0.306818181818182
"178","armadillo",0.0887142857142856
"179","tamandua",0.343125
"180","ocelot",0.309375
"181","ocelot",0.258
"182","ocelot",0.18
"183","opossum",0.123157894736842
"184","ocelot",0.181578947368421
"185","ocelot",0.350526315789473
"186","tamandua",0.240394736842105
"187","ocelot",0.151578947368421
"188","opossum",0.189473684210526
"189","ocelot",0.0558947368421052
"190","armadillo",0.45
"191","ocelot",0.408
"192","opossum",0.05625
"193","armadillo",0.189931034482758
"194","ocelot",0.23896551724138
"195","armadillo",0.0931034482758622
"196","armadillo",0.248275862068966
"197","ocelot",0.130263157894737
"198","ocelot",0.162295081967213
"199","Fox",0.199563830961674
"200","Fox",0.611074805557981
"201","Fox",0.418040002018333
"202","Fox",0.524901255981748
"203","Fox",0.906496533095671
"204","Fox",0.635106988230008
"205","Fox",0.483704717521875
"206","Fox",1.09892876728784
"207","Fox",1.40312337987122
"208","Fox",0.00579394661513127
"209","Fox",0.872335768484462
"210","Fox",1.47776255434746
"211","Fox",0.18434540993096
