"species" "distance" "intervals" "avgduration"
"1" "agouti" 0.2 1 0.888888888888889
"2" "agouti" 0.3 1 0.777777777777778
"3" "coati" 0.4 1 0.888888888888889
"4" "ocelot" 0.5 1 0.777777777777778
"5" "agouti" 0.6 1 0.888888888888889
"6" "squirrel" 0.14 1 1.44444444444444
"7" "agouti" 0.45 1 0.666666666666667
"8" "ocelot" 0.33 1 0.666666666666667
"9" "paca" 0.35 1 1.55555555555556
"10" "agouti" 0.44 1 1.33333333333333
"11" "agouti" 0.66 1 2.22222222222222
"12" "rat" 0.63 1 1.22222222222222
"13" "agouti" 0.23 1 1.44444444444444
"14" "tamandua" 0.5 1 1.55555555555556
"15" "agouti" 0.35 1 0.555555555555556
"16" "tamandua" 0.41 1 2.55555555555556
"17" "coati" 0.46 1 2.44444444444444
"18" "agouti" 0.48 1 2.11111111111111
"19" "agouti" 0.48 1 2
"20" "paca" 0.56 1 1.66666666666667
"21" "agouti" 0.71 1 0.777777777777778
"22" "agouti" 0.38 1 1.33333333333333
"23" "rat" 0.43 1 0.555555555555556
"24" "agouti" 0.42 1 1.55555555555556
"25" "rat" 0.8 1 0.666666666666667
"26" "agouti" 0.4 1 0.555555555555556
"27" "agouti" 0.43 1 2.22222222222222
"28" "agouti" 0.47 1 1.44444444444444
"29" "agouti" 3.5 1 2.44444444444444
"30" "agouti" 0.76 1 2.11111111111111
"31" "paca" 0.62 1 1.22222222222222
"32" "peccary" 0.72 1 2.44444444444444
"33" "agouti" 0.3 1 1.22222222222222
"34" "rat" 0.43 1 1
"35" "agouti" 0.5 1 0.888888888888889
"36" "agouti" 0.97 1 0.777777777777778
"37" "agouti" 0.97 1 2.11111111111111
"38" "agouti" 0.34 1 2.22222222222222
"39" "tamandua" 0.5 1 2.44444444444444
"40" "agouti" 1.32 1 2.22222222222222
"41" "agouti" 0.72 1 1.66666666666667
"42" "agouti" 0.4 1 2.22222222222222
"43" "agouti" 0.72 1 1.44444444444444
"44" "coati" 0.8 1 2
"45" "peccary" 0.85 1 2.33333333333333
"46" "rat" 0.5 1 0.555555555555556
"47" "agouti" 0.39 1 2.55555555555556
"48" "agouti" 0.45 1 1.44444444444444
"49" "ocelot" 0.35 1 0.666666666666667
"50" "agouti" 0.36 1 2.44444444444444
"51" "rat" 0.48 1 1.55555555555556
"52" "agouti" 0.48 1 1.88888888888889
"53" "agouti" 0.52 1 0.444444444444444
"54" "coati" 0.53 1 0.888888888888889
"55" "ocelot" 0.61 1 1.66666666666667
"56" "agouti" 0.83 1 2.11111111111111
"57" "ocelot" 1.28 1 1.66666666666667
"58" "agouti" 1.46 1 1.44444444444444
"59" "ocelot" 1.6 1 2
"60" "agouti" 1.68 1 2.33333333333333
"61" "coati" 2 1 0.888888888888889
"62" "paca" 0.6 1 1.66666666666667
"63" "agouti" 0.44 1 2.22222222222222
"64" "agouti" 0.47 1 2.55555555555556
"65" "agouti" 0.67 1 2.44444444444444
"66" "agouti" 0.8 1 1.44444444444444
"67" "agouti" 0.65 1 1.55555555555556
