"","X","species","speed","category","size","Body_mass_g"
"1",1,"Fox",0.199563830961674,"LF","large",4820.36
"2",2,"Fox",0.611074805557981,"LF","large",4820.36
"3",3,"Fox",0.418040002018333,"LF","large",4820.36
"4",4,"Fox",0.524901255981748,"LF","large",4820.36
"5",5,"Fox",0.906496533095671,"LF","large",4820.36
"6",6,"Fox",0.635106988230008,"LF","large",4820.36
"7",7,"Fox",0.483704717521875,"LF","large",4820.36
"8",8,"Fox",1.09892876728784,"LF","large",4820.36
"9",9,"Fox",1.40312337987122,"LF","large",4820.36
"10",10,"Fox",0.00579394661513127,"LF","large",4820.36
"11",11,"Fox",0.872335768484462,"LF","large",4820.36
"12",12,"Fox",1.47776255434746,"LF","large",4820.36
"13",13,"Fox",0.18434540993096,"LF","large",4820.36
"14",14,"Fox",1.21087223352777,"LF","large",4820.36
"15",15,"Fox",0.145180778703313,"LF","large",4820.36
"16",16,"Fox",0.027814956883173,"LF","large",4820.36
"17",17,"Fox",1.11231708622533,"LF","large",4820.36
"18",18,"Fox",0.00537734099047368,"LF","large",4820.36
"19",19,"Fox",0.798904832760927,"LF","large",4820.36
"20",20,"Fox",0.889921286653447,"LF","large",4820.36
"21",21,"Fox",0.423890211492375,"LF","large",4820.36
"22",22,"Fox",0.266401274121036,"LF","large",4820.36
"23",23,"Fox",0.812430050713236,"LF","large",4820.36
"24",24,"Fox",0.123145042465208,"LF","large",4820.36
"25",25,"Fox",0.803373569765249,"LF","large",4820.36
"26",26,"Fox",0.677200622327855,"LF","large",4820.36
"27",27,"Hedgehog",0.208640137869526,"SS","small",777.95
"28",28,"Hedgehog",0.0381416682796469,"SS","small",777.95
"29",29,"Hedgehog",0.0136098626234004,"SS","small",777.95
"30",30,"Fox",1.19483213670784,"LF","large",4820.36
"31",31,"Fox",2.72704494409284,"LF","large",4820.36
"32",32,"Fox",1.35864787417537,"LF","large",4820.36
"33",33,"Fox",1.57184490488855,"LF","large",4820.36
"34",34,"Fox",1.71822524435377,"LF","large",4820.36
"35",35,"Fox",0.316979552262415,"LF","large",4820.36
"36",36,"Fox",0.275104222825571,"LF","large",4820.36
"37",37,"Fox",1.26601580701647,"LF","large",4820.36
"38",38,"Fox",1.14288285710628,"LF","large",4820.36
"39",39,"Fox",0.399441161087023,"LF","large",4820.36
"40",40,"Hedgehog",0.371834734037334,"SS","small",777.95
"41",41,"Hedgehog",0.818470247564819,"SS","small",777.95
"42",42,"Hedgehog",0.345705119556607,"SS","small",777.95
"43",43,"Hedgehog",0.851427082214596,"SS","small",777.95
"44",44,"Hedgehog",0.326246363355377,"SS","small",777.95
"45",45,"Hedgehog",0.128502027558813,"SS","small",777.95
"46",46,"Hedgehog",0.216133768030968,"SS","small",777.95
"47",47,"Hedgehog",0.0405620982474528,"SS","small",777.95
"48",48,"Hedgehog",0.274384827908802,"SS","small",777.95
"49",49,"Hedgehog",0.412594835154604,"SS","small",777.95
"50",50,"Fox",0.261997408445655,"LF","large",4820.36
"51",51,"Fox",2.00687495910693,"LF","large",4820.36
"52",52,"Fox",0.0786014313700002,"LF","large",4820.36
"53",53,"Fox",0.706815290155024,"LF","large",4820.36
"54",54,"Hedgehog",0.499998183964875,"SS","small",777.95
"55",55,"Fox",0.606252535718065,"LF","large",4820.36
"56",56,"Fox",0.124350393440257,"LF","large",4820.36
"57",57,"Fox",0.808330585059921,"LF","large",4820.36
"58",58,"Hedgehog",0.394887667443221,"SS","small",777.95
"59",59,"Hedgehog",0.118296523017353,"SS","small",777.95
"60",60,"Hedgehog",0.301965374134994,"SS","small",777.95
"61",61,"Hedgehog",0.117087625296914,"SS","small",777.95
