"","species","speed","category","size"
"1","Fox",0.199563830961674,"LF","large"
"2","Fox",0.611074805557981,"LF","large"
"3","Fox",0.418040002018333,"LF","large"
"4","Fox",0.524901255981748,"LF","large"
"5","Fox",0.906496533095671,"LF","large"
"6","Fox",0.635106988230008,"LF","large"
"7","Fox",0.483704717521875,"LF","large"
"8","Fox",1.09892876728784,"LF","large"
"9","Fox",1.40312337987122,"LF","large"
"10","Fox",0.00579394661513127,"LF","large"
"11","Fox",0.872335768484462,"LF","large"
"12","Fox",1.47776255434746,"LF","large"
"13","Fox",0.18434540993096,"LF","large"
"14","Fox",1.21087223352777,"LF","large"
"15","Fox",0.145180778703313,"LF","large"
"16","Fox",0.027814956883173,"LF","large"
"17","Fox",1.11231708622533,"LF","large"
"18","Fox",0.00537734099047368,"LF","large"
"19","Fox",0.798904832760927,"LF","large"
"20","Fox",0.889921286653447,"LF","large"
"21","Fox",0.423890211492375,"LF","large"
"22","Fox",0.266401274121036,"LF","large"
"23","Fox",0.812430050713236,"LF","large"
"24","Fox",0.123145042465208,"LF","large"
"25","Fox",0.803373569765249,"LF","large"
"26","Fox",0.677200622327855,"LF","large"
"27","Hedgehog",0.208640137869526,"SS","small"
"28","Hedgehog",0.0381416682796469,"SS","small"
"29","Hedgehog",0.0136098626234004,"SS","small"
"30","Fox",1.19483213670784,"LF","large"
"31","Fox",2.72704494409284,"LF","large"
"32","Fox",1.35864787417537,"LF","large"
"33","Fox",1.57184490488855,"LF","large"
"34","Fox",1.71822524435377,"LF","large"
"35","Fox",0.316979552262415,"LF","large"
"36","Fox",0.275104222825571,"LF","large"
"37","Fox",1.26601580701647,"LF","large"
"38","Fox",1.14288285710628,"LF","large"
"39","Fox",0.399441161087023,"LF","large"
"40","Hedgehog",0.371834734037334,"SS","small"
"41","Hedgehog",0.818470247564819,"SS","small"
"42","Hedgehog",0.345705119556607,"SS","small"
"43","Hedgehog",0.851427082214596,"SS","small"
"44","Hedgehog",0.326246363355377,"SS","small"
"45","Hedgehog",0.128502027558813,"SS","small"
"46","Hedgehog",0.216133768030968,"SS","small"
"47","Hedgehog",0.0405620982474528,"SS","small"
"48","Hedgehog",0.274384827908802,"SS","small"
"49","Hedgehog",0.412594835154604,"SS","small"
"50","Fox",0.261997408445655,"LF","large"
"51","Fox",2.00687495910693,"LF","large"
"52","Fox",0.0786014313700002,"LF","large"
"53","Fox",0.706815290155024,"LF","large"
"54","Hedgehog",0.499998183964875,"SS","small"
"55","Fox",0.606252535718065,"LF","large"
"56","Fox",0.124350393440257,"LF","large"
"57","Fox",0.808330585059921,"LF","large"
"58","Hedgehog",0.394887667443221,"SS","small"
"59","Hedgehog",0.118296523017353,"SS","small"
"60","Hedgehog",0.301965374134994,"SS","small"
"61","Hedgehog",0.117087625296914,"SS","small"
"62","Hedgehog",0.0565560451641305,"SS","small"
"63","Hedgehog",0.0745588407720762,"SS","small"
"64","Fox",0.365600551920683,"LF","large"
"65","Fox",0.423871597050523,"LF","large"
"66","Fox",0.30991548335051,"LF","large"
"67","Fox",1.13034281249774,"LF","large"
"68","Hedgehog",0.393677562456855,"SS","small"
"69","Hedgehog",0.227494430623829,"SS","small"
"70","Fox",0.372043719184407,"LF","large"
"71","Fox",1.33004857370614,"LF","large"
"72","Hedgehog",0.014582848235849,"SS","small"
"73","Fox",0.00194345040333534,"LF","large"
"74","Fox",0.230435311764187,"LF","large"
"75","Fox",0.294838071524076,"LF","large"
"76","Fox",0.0573500357942734,"LF","large"
"77","Fox",0.402765387252261,"LF","large"
"78","Fox",0.871452253063195,"LF","large"
"79","Fox",0.705908531966297,"LF","large"
"80","Fox",0.0238997597153016,"LF","large"
"81","Fox",0.272493498370368,"LF","large"
"82","Fox",0.494830619042835,"LF","large"
"83","Fox",0.278433168939697,"LF","large"
"84","Fox",0.55943446305255,"LF","large"
"85","Fox",0.306846653263805,"LF","large"
"86","Fox",0.199302908341322,"LF","large"
"87","Fox",0.67729719540409,"LF","large"
"88","Fox",0.532954562566439,"LF","large"
"89","Fox",0.299652036781144,"LF","large"
"90","Fox",0.514031278029212,"LF","large"
"91","Fox",1.28046797008084,"LF","large"
"92","Fox",0.603465438661801,"LF","large"
"93","Fox",0.407298557326659,"LF","large"
"94","Fox",0.0324417383388248,"LF","large"
"95","Fox",0.256847333348796,"LF","large"
"96","Fox",0.240348328979575,"LF","large"
"97","Fox",1.14536210364604,"LF","large"
"98","Fox",0.330940702566206,"LF","large"
"99","Fox",1.00705543104794,"LF","large"
"100","Fox",0.0273022519976823,"LF","large"
"101","Fox",0.842170484707473,"LF","large"
"102","Fox",0.603091375081858,"LF","large"
"103","Fox",0.364873898369597,"LF","large"
"104","Fox",0.374672948561843,"LF","large"
"105","Fox",0.281977015350368,"LF","large"
"106","Fox",0.296450673216895,"LF","large"
