"","X.2","X.1","X","species","speed","category","size","Body_mass_g","distance","avgduration"
"1",727,727,727,"agouti",0.225,"SF","small",2309.12,0.2,0.888888888888889
"2",728,728,728,"agouti",0.385714285714286,"SF","small",2309.12,0.3,0.777777777777778
"3",729,729,729,"coati",0.45,"SF","small",3775.5,0.4,0.888888888888889
"4",730,730,730,"ocelot",0.642857142857143,"LF","large",11880,0.5,0.777777777777778
"5",731,731,731,"agouti",0.675,"SF","small",2309.12,0.6,0.888888888888889
"6",732,732,732,"squirrel",0.0969230769230772,"SF","small",545.4,0.14,1.44444444444444
"7",733,733,733,"agouti",0.675,"SF","small",2309.12,0.45,0.666666666666667
"8",734,734,734,"ocelot",0.495,"LF","large",11880,0.33,0.666666666666667
"9",735,735,735,"paca",0.224999999999999,"LS","large",8172.55,0.35,1.55555555555556
"10",736,736,736,"agouti",0.330000000000001,"SF","small",2309.12,0.44,1.33333333333333
"11",737,737,737,"agouti",0.297,"SF","small",2309.12,0.66,2.22222222222222
"12",738,738,738,"rat",0.515454545454546,"SF","small",282.17,0.63,1.22222222222222
"13",739,739,739,"agouti",0.15923076923077,"SF","small",2309.12,0.23,1.44444444444444
"14",740,740,740,"tamandua",0.321428571428571,"LS","large",4800,0.5,1.55555555555556
"15",741,741,741,"agouti",0.629999999999999,"SF","small",2309.12,0.35,0.555555555555556
"16",742,742,742,"tamandua",0.160434782608695,"LS","large",4800,0.41,2.55555555555556
"17",743,743,743,"coati",0.188181818181819,"SF","small",3775.5,0.46,2.44444444444444
"18",744,744,744,"agouti",0.227368421052632,"SF","small",2309.12,0.48,2.11111111111111
"19",745,745,745,"agouti",0.24,"SF","small",2309.12,0.48,2
"20",746,746,746,"paca",0.335999999999999,"LS","large",8172.55,0.56,1.66666666666667
"21",747,747,747,"agouti",0.912857142857143,"SF","small",2309.12,0.71,0.777777777777778
"22",748,748,748,"agouti",0.285000000000001,"SF","small",2309.12,0.38,1.33333333333333
"23",749,749,749,"rat",0.773999999999999,"SF","small",282.17,0.43,0.555555555555556
"24",750,750,750,"agouti",0.269999999999999,"SF","small",2309.12,0.42,1.55555555555556
"25",751,751,751,"rat",1.2,"SF","small",282.17,0.8,0.666666666666667
"26",752,752,752,"agouti",0.719999999999999,"SF","small",2309.12,0.4,0.555555555555556
