"","species","angle","dist","Body_mass_g","angles_rad"
"1","rat",38,1.24,282.17,0.663225115757845
"2","agouti",29,2.13,2309.12,0.506145483078356
"3","agouti",29,0.44,2309.12,0.506145483078356
"4","agouti",15,1.65,2309.12,0.261799387799149
"5","paca",10,0.47,8172.55,0.174532925199433
"6","brocket",8,0.6,20546.86,0.139626340159546
"7","rat",7,1,282.17,0.122173047639603
"8","agouti",2,0.92,2309.12,0.0349065850398866
"9","coati",0,1.72,3775.5,0
"10","coati",0,1.64,3775.5,0
"11","agouti",-2,2.4,2309.12,0.0349065850398866
"12","agouti",-4,0.82,2309.12,0.0698131700797732
"14","squirrel",-10,0.9,545.4,0.174532925199433
"15","agouti",-27,1.63,2309.12,0.471238898038469
"16","squirrel",-38,1.35,545.4,0.663225115757845
"22","squirrel",37,1.72,545.4,0.645771823237902
"23","agouti",36,3.9,2309.12,0.628318530717959
"24","agouti",34,2.1,2309.12,0.593411945678072
"25","ocelot",34,2.55,11880,0.593411945678072
"26","paca",34,2.89,8172.55,0.593411945678072
"27","agouti",33,3.33,2309.12,0.575958653158129
"28","agouti",32,0.67,2309.12,0.558505360638185
"29","rat",31,0.73,282.17,0.541052068118242
"30","agouti",28,2.04,2309.12,0.488692190558412
"31","tamandua",28,4.35,4800,0.488692190558412
"32","agouti",26,0.88,2309.12,0.453785605518526
"33","tamandua",26,1.46,4800,0.453785605518526
"34","coati",26,1.34,3775.5,0.453785605518526
"35","agouti",23,1.88,2309.12,0.401425727958696
"36","agouti",22,2.28,2309.12,0.383972435438752
"37","paca",22,3.15,8172.55,0.383972435438752
"38","agouti",21,4.82,2309.12,0.366519142918809
"39","agouti",19,2.32,2309.12,0.331612557878923
"40","agouti",18,0.85,2309.12,0.314159265358979
"41","rat",18,1.47,282.17,0.314159265358979
"42","agouti",17,1.68,2309.12,0.296705972839036
"43","rat",14,1.6,282.17,0.244346095279206
"44","agouti",13,3.9,2309.12,0.226892802759263
"45","agouti",12,2.1,2309.12,0.20943951023932
"46","agouti",12,1.36,2309.12,0.20943951023932
"47","agouti",11,4.1,2309.12,0.191986217719376
"48","agouti",10,2.79,2309.12,0.174532925199433
"49","paca",9,2.52,8172.55,0.15707963267949
"50","peccary",8,2.58,21133.69,0.139626340159546
"51","agouti",7,2.51,2309.12,0.122173047639603
"52","rat",7,1.71,282.17,0.122173047639603
"53","agouti",7,1.3,2309.12,0.122173047639603
"54","agouti",7,2.15,2309.12,0.122173047639603
"55","agouti",7,2.08,2309.12,0.122173047639603
"56","agouti",6.166,1.41,2309.12,0.10761700167797
"57","tamandua",6,0.3,4800,0.10471975511966
"58","agouti",6,3.26,2309.12,0.10471975511966
"59","agouti",5,2.61,2309.12,0.0872664625997165
"60","agouti",4,2.55,2309.12,0.0698131700797732
"61","agouti",4,3.08,2309.12,0.0698131700797732
"62","coati",4,2,3775.5,0.0698131700797732
"63","peccary",3.52,3.52,21133.69,0.0614355896702004
"64","rat",3,1.5,282.17,0.0523598775598299
"65","agouti",2,0.58,2309.12,0.0349065850398866
"66","agouti",2,1.28,2309.12,0.0349065850398866
"69","ocelot",0,0.88,11880,0
"70","agouti",0,0.93,2309.12,0
"71","rat",0,1.08,282.17,0
"72","agouti",0,1.6,2309.12,0
"73","agouti",0,0.89,2309.12,0
"74","coati",0,2.45,3775.5,0
"75","ocelot",0,2.44,11880,0
"76","agouti",0,1.37,2309.12,0
"77","ocelot",0,1.23,11880,0
"78","agouti",0,1.34,2309.12,0
"79","ocelot",0,1.7,11880,0
"80","agouti",0,1.57,2309.12,0
"81","coati",0,4.5,3775.5,0
"82","paca",-1,2.35,8172.55,0.0174532925199433
"83","agouti",-2,1.02,2309.12,0.0349065850398866
"84","agouti",-2,1.5,2309.12,0.0349065850398866
"85","agouti",-2,1.72,2309.12,0.0349065850398866
"86","agouti",-2,1.41,2309.12,0.0349065850398866
"87","agouti",-4,1.34,2309.12,0.0698131700797732
"88","ocelot",-4,2.15,11880,0.0698131700797732
"89","agouti",-4,2.27,2309.12,0.0698131700797732
"90","squirrel",-5,2.3,545.4,0.0872664625997165
"91","brocket",-6,1.73,20546.86,0.10471975511966
"92","peccary",-7,3.26,21133.69,0.122173047639603
"93","agouti",-7,2.98,2309.12,0.122173047639603
"94","paca",-7,4.1,8172.55,0.122173047639603
"95","agouti",-8,1.24,2309.12,0.139626340159546
"96","agouti",-8,2.25,2309.12,0.139626340159546
"97","agouti",-8,1.35,2309.12,0.139626340159546
"98","tamandua",-8,1.2,4800,0.139626340159546
"99","agouti",-8,1.91,2309.12,0.139626340159546
"100","rat",-9,2.9,282.17,0.15707963267949
"101","mouse",-10,1.08,19.3,0.174532925199433
"102","brocket",-10,1.9,20546.86,0.174532925199433
"103","agouti",-11,5.35,2309.12,0.191986217719376
"104","paca",-11,2.68,8172.55,0.191986217719376
"105","agouti",-11,3.68,2309.12,0.191986217719376
"106","agouti",-12,2.46,2309.12,0.20943951023932
"107","squirrel",-12,1.35,545.4,0.20943951023932
"108","agouti",-13,1.1,2309.12,0.226892802759263
"109","agouti",-13,1.6,2309.12,0.226892802759263
"110","agouti",-15,3.72,2309.12,0.261799387799149
"111","agouti",-15,1.43,2309.12,0.261799387799149
"112","armadillo",-15,2.15,3949.01,0.261799387799149
"113","agouti",-15,1.1,2309.12,0.261799387799149
"114","agouti",-16,3.15,2309.12,0.279252680319093
"115","agouti",-16,2.25,2309.12,0.279252680319093
"116","agouti",-17,1.78,2309.12,0.296705972839036
"117","brocket",-17,3.2,20546.86,0.296705972839036
"118","coati",-19,1.43,3775.5,0.331612557878923
"119","agouti",-19,1.71,2309.12,0.331612557878923
"120","brocket",-20,1.68,20546.86,0.349065850398866
"121","agouti",-22,1.43,2309.12,0.383972435438752
"122","ocelot",-22,1.84,11880,0.383972435438752
"123","agouti",-24,3.4,2309.12,0.418879020478639
"124","agouti",-25,0.42,2309.12,0.436332312998582
"125","paca",-26,3.36,8172.55,0.453785605518526
"126","agouti",-26,2.29,2309.12,0.453785605518526
"127","agouti",-27,3.85,2309.12,0.471238898038469
"128","agouti",-28,2.68,2309.12,0.488692190558412
"129","rat",-28,0.72,282.17,0.488692190558412
"130","squirrel",-30,0.67,545.4,0.523598775598299
"132","rat",-31,2.58,282.17,0.541052068118242
"133","agouti",-32,1.79,2309.12,0.558505360638185
"134","agouti",-32,2.15,2309.12,0.558505360638185
"135","mouse",-33,0.61,19.3,0.575958653158129
"136","agouti",-36,2.56,2309.12,0.628318530717959
"161","rat",42,0.44,282.17,0.733038285837618
"162","peccary",42,1.35,21133.69,0.733038285837618
"163","squirrel",38,1.12,545.4,0.663225115757845
"164","agouti",38,0.52,2309.12,0.663225115757845
"165","rat",32,0.75,282.17,0.558505360638185
"166","squirrel",32,1.7,545.4,0.558505360638185
"167","paca",32,0.94,8172.55,0.558505360638185
"168","agouti",31,0.58,2309.12,0.541052068118242
"169","agouti",31,1.98,2309.12,0.541052068118242
"170","rat",29,1.11,282.17,0.506145483078356
"171","rat",28,0.64,282.17,0.488692190558412
"172","squirrel",28,1.65,545.4,0.488692190558412
"173","rat",27,1.56,282.17,0.471238898038469
"174","agouti",26,1.48,2309.12,0.453785605518526
"175","coati",26,1.12,3775.5,0.453785605518526
"176","agouti",25,3.45,2309.12,0.436332312998582
"177","peccary",24,1.48,21133.69,0.418879020478639
"178","paca",23,3.16,8172.55,0.401425727958696
"180","mouse",23,1.72,19.3,0.401425727958696
"181","agouti",23,1.7,2309.12,0.401425727958696
"182","agouti",22,0.94,2309.12,0.383972435438752
"183","agouti",21,1.28,2309.12,0.366519142918809
"184","brocket",20,5.9,20546.86,0.349065850398866
"185","coati",19,1.44,3775.5,0.331612557878923
"186","agouti",18,1.14,2309.12,0.314159265358979
"187","paca",17,2.83,8172.55,0.296705972839036
"188","agouti",16,2.45,2309.12,0.279252680319093
"189","peccary",16,3.8,21133.69,0.279252680319093
"190","agouti",15,4.19,2309.12,0.261799387799149
"191","agouti",14,2.05,2309.12,0.244346095279206
"192","coati",14,3.17,3775.5,0.244346095279206
"193","agouti",13,1.42,2309.12,0.226892802759263
"194","coati",12,1.8,3775.5,0.20943951023932
"195","peccary",12,3,21133.69,0.20943951023932
"196","rat",11,1.31,282.17,0.191986217719376
"197","agouti",11,2.98,2309.12,0.191986217719376
"198","agouti",10,0.87,2309.12,0.174532925199433
"199","squirrel",10,0.02,545.4,0.174532925199433
"200","agouti",10,1.57,2309.12,0.174532925199433
"201","agouti",9,4.15,2309.12,0.15707963267949
"202","agouti",8,1.5,2309.12,0.139626340159546
"203","brocket",8,1.35,20546.86,0.139626340159546
"204","agouti",8,2.47,2309.12,0.139626340159546
"205","rat",7,1.41,282.17,0.122173047639603
"206","agouti",7,1.46,2309.12,0.122173047639603
"207","agouti",7,3.35,2309.12,0.122173047639603
"208","peccary",7,3.8,21133.69,0.122173047639603
"209","agouti",7,1.75,2309.12,0.122173047639603
"210","paca",7,2.37,8172.55,0.122173047639603
"211","agouti",6,1.06,2309.12,0.10471975511966
"212","mouse",5,0.8,19.3,0.0872664625997165
"213","agouti",5,0.84,2309.12,0.0872664625997165
"214","ocelot",5,4.42,11880,0.0872664625997165
"215","peccary",5,2.51,21133.69,0.0872664625997165
"216","agouti",4,0.68,2309.12,0.0698131700797732
"217","agouti",4,2.37,2309.12,0.0698131700797732
"218","agouti",4,3.2,2309.12,0.0698131700797732
"219","agouti",2,1.97,2309.12,0.0349065850398866
"220","coati",2,1.15,3775.5,0.0349065850398866
"221","agouti",2,1.34,2309.12,0.0349065850398866
"222","armadillo",2,1.76,3949.01,0.0349065850398866
"223","agouti",1,0.64,2309.12,0.0174532925199433
"224","rat",0,1,282.17,0
"225","agouti",0,1.5,2309.12,0
"226","paca",0,1.72,8172.55,0
"227","agouti",0,2,2309.12,0
"229","coati",0,0.83,3775.5,0
"230","agouti",0,0.94,2309.12,0
"231","paca",0,3.08,8172.55,0
"232","coati",0,2.42,3775.5,0
"233","agouti",0,0.76,2309.12,0
"234","agouti",0,1.13,2309.12,0
"235","paca",0,1.45,8172.55,0
"236","paca",0,1.12,8172.55,0
"237","agouti",0,1.45,2309.12,0
"238","agouti",0,3.82,2309.12,0
