markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle
1,0,0,1407,408,Fox,Loc_01,2016-10-05 03:11:14,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-14-IMG_0001.jpg,Cam1,Loc_01_Cam1,2.52547901416434,0.147248543652941
2,10,1,-340,114,Fox,Loc_01,2016-10-05 03:11:21,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-21-IMG_0011.jpg,Cam1,Loc_01_Cam1,2.39597687231913,-0.524404735098202
29,140,28,1355,539,Fox,Loc_01,2016-10-06 03:05:25,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-25-IMG_0141.jpg,Cam1,Loc_01_Cam1,3.0433759218354,0.127256574279696
30,150,29,1569,414,Fox,Loc_01,2016-10-10 00:32:28,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161010-00-32-28-IMG_0151.jpg,Cam1,Loc_01_Cam1,2.44748305849318,0.209531217469589
31,160,30,272,524,Fox,Loc_01,2016-10-12 06:33:23,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-23-IMG_0161.jpg,Cam1,Loc_01_Cam1,4.53941874722324,-0.289114634013085
32,170,31,1242,680,Fox,Loc_01,2016-10-12 06:33:45,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-45-IMG_0171.jpg,Cam1,Loc_01_Cam1,4.04343952029456,0.0838124869878358
33,180,32,1507,379,Fox,Loc_01,2016-10-12 06:33:57,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-57-IMG_0181.jpg,Cam1,Loc_01_Cam1,2.38772914041958,0.185694638601489
34,1,33,1028,289,Fox,Loc_01,2016-10-05 03:11:15,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-15-IMG_0002.jpg,Cam1,Loc_01_Cam1,2.37916296038185,0.00153784379794194
35,2,33,758,226,Fox,Loc_01,2016-10-05 03:11:15,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-15-IMG_0003.jpg,Cam1,Loc_01_Cam1,2.31871031584303,-0.102266612563139
36,3,33,521,208,Fox,Loc_01,2016-10-05 03:11:16,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-16-IMG_0004.jpg,Cam1,Loc_01_Cam1,2.36469467749838,-0.193383857591199
37,4,33,430,250,Fox,Loc_01,2016-10-05 03:11:17,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-17-IMG_0005.jpg,Cam1,Loc_01_Cam1,2.54876336445587,-0.228369803994378
38,5,33,430,250,Fox,Loc_01,2016-10-05 03:11:17,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-17-IMG_0006.jpg,Cam1,Loc_01_Cam1,2.54876336445587,-0.228369803994378
39,6,33,332,279,Fox,Loc_01,2016-10-05 03:11:18,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-18-IMG_0007.jpg,Cam1,Loc_01_Cam1,2.71814421454667,-0.266046977043956
40,7,33,219,250,Fox,Loc_01,2016-10-05 03:11:19,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-19-IMG_0008.jpg,Cam1,Loc_01_Cam1,2.66319058071386,-0.309491064335816
41,8,33,219,250,Fox,Loc_01,2016-10-05 03:11:19,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-19-IMG_0009.jpg,Cam1,Loc_01_Cam1,2.66319058071386,-0.309491064335816
42,9,33,219,250,Fox,Loc_01,2016-10-05 03:11:20,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-20-IMG_0010.jpg,Cam1,Loc_01_Cam1,2.66319058071386,-0.309491064335816
43,141,34,1375,543,Fox,Loc_01,2016-10-06 03:05:26,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-26-IMG_0142.jpg,Cam1,Loc_01_Cam1,3.04106808291245,0.134945793269405
44,142,34,1225,528,Fox,Loc_01,2016-10-06 03:05:26,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-26-IMG_0143.jpg,Cam1,Loc_01_Cam1,3.12520239532789,0.0772766508465825
45,143,34,1049,524,Fox,Loc_01,2016-10-06 03:05:27,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-27-IMG_0144.jpg,Cam1,Loc_01_Cam1,3.29783768981748,0.00961152373713713
46,144,34,812,516,Fox,Loc_01,2016-10-06 03:05:28,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-28-IMG_0145.jpg,Cam1,Loc_01_Cam1,3.54307289721546,-0.0815057212909229
47,145,34,537,497,Fox,Loc_01,2016-10-06 03:05:28,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-28-IMG_0146.jpg,Cam1,Loc_01_Cam1,3.79186562614317,-0.187232482399431
48,146,34,326,501,Fox,Loc_01,2016-10-06 03:05:29,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-29-IMG_0147.jpg,Cam1,Loc_01_Cam1,4.17690469296884,-0.268353742740869
49,151,35,1220,354,Fox,Loc_01,2016-10-10 00:32:29,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161010-00-32-29-IMG_0152.jpg,Cam1,Loc_01_Cam1,2.47148154957514,0.0753543460991551
50,152,35,677,205,Fox,Loc_01,2016-10-10 00:32:30,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161010-00-32-30-IMG_0153.jpg,Cam1,Loc_01_Cam1,2.29190519061769,-0.133407949471463
51,153,35,331,134,Fox,Loc_01,2016-10-10 00:32:31,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161010-00-32-31-IMG_0154.jpg,Cam1,Loc_01_Cam1,2.21835007390569,-0.266431437993441
52,170,36,1286,699,Fox,Loc_01,2016-10-12 06:33:45,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-45-IMG_0171.jpg,Cam1,Loc_01_Cam1,4.10823251263839,0.100728768765197
53,171,36,1221,672,Fox,Loc_01,2016-10-12 06:33:46,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-46-IMG_0172.jpg,Cam1,Loc_01_Cam1,4.02083398187895,0.0757388070486406
54,172,36,1077,584,Fox,Loc_01,2016-10-12 06:33:46,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-46-IMG_0173.jpg,Cam1,Loc_01_Cam1,3.62474625632683,0.0203764303227307
55,173,36,877,531,Fox,Loc_01,2016-10-12 06:33:47,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-47-IMG_0174.jpg,Cam1,Loc_01_Cam1,3.55562244911215,-0.0565157595743663
56,174,36,740,498,Fox,Loc_01,2016-10-12 06:33:48,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-48-IMG_0175.jpg,Cam1,Loc_01_Cam1,3.51733862624494,-0.109186909653878
57,175,36,574,401,Fox,Loc_01,2016-10-12 06:33:48,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-48-IMG_0176.jpg,Cam1,Loc_01_Cam1,3.11832548280765,-0.173007427268468
58,176,36,343,369,Fox,Loc_01,2016-10-12 06:33:49,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-49-IMG_0177.jpg,Cam1,Loc_01_Cam1,3.1524630515092,-0.261817906599615
59,177,36,308,231,Fox,Loc_01,2016-10-12 06:33:49,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-49-IMG_0178.jpg,Cam1,Loc_01_Cam1,2.54111730179843,-0.275274039831607
60,178,36,460,168,Fox,Loc_01,2016-10-12 06:33:50,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-50-IMG_0179.jpg,Cam1,Loc_01_Cam1,2.26941647379876,-0.216835975509814
61,179,36,957,258,Fox,Loc_01,2016-10-12 06:33:51,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-51-IMG_0180.jpg,Cam1,Loc_01_Cam1,2.32404491425755,-0.0257588836155275
98,550,73,1007,750,Fox,Loc_02,2016-10-20 01:50:53,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-53-IMG_0521.jpg,Cam1,Loc_02_Cam1,8.35444343242965,-0.00653583614125325
99,550,74,958,748,Fox,Loc_02,2016-10-20 01:50:53,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-53-IMG_0521.jpg,Cam1,Loc_02_Cam1,8.22528634238072,-0.025374422666042
100,551,74,1152,748,Fox,Loc_02,2016-10-20 01:50:54,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-54-IMG_0522.jpg,Cam1,Loc_02_Cam1,8.24270702112453,0.0492110015341421
101,552,74,1307,749,Fox,Loc_02,2016-10-20 01:50:54,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-54-IMG_0523.jpg,Cam1,Loc_02_Cam1,8.31902066868724,0.108802448704392
102,553,74,1513,742,Fox,Loc_02,2016-10-20 01:50:55,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-55-IMG_0524.jpg,Cam1,Loc_02_Cam1,7.91795635542737,0.188001404298402
103,554,74,1778,736,Fox,Loc_02,2016-10-20 01:50:56,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-56-IMG_0525.jpg,Cam1,Loc_02_Cam1,7.60963613146699,0.289883555912056
105,690,76,1385,418,Fox,Loc_02,2016-10-24 04:36:33,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161024-04-36-33-IMG_0671.jpg,Cam1,Loc_02_Cam1,2.30952714292467,0.13879040276426
106,700,77,532,790,Fox,Loc_03,2016-10-05 05:27:13,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161005-05-27-13-IMG_0001.jpg,Cam5,Loc_03_Cam5,4.46528186585677,-0.189154787146859
141,800,112,841,719,Fox,Loc_03,2016-10-05 23:02:17,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161005-23-02-17-IMG_0071.jpg,Cam5,Loc_03_Cam5,3.96396977357128,-0.0703563537558438
142,810,113,836,660,Fox,Loc_03,2016-10-06 01:03:49,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161006-01-03-49-IMG_0081.jpg,Cam5,Loc_03_Cam5,3.38111867145604,-0.0722786585032712
143,820,114,249,473,Fox,Loc_03,2016-10-07 22:41:39,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161007-22-41-39-IMG_0091.jpg,Cam5,Loc_03_Cam5,2.12080277525794,-0.297957235851251
144,830,115,1384,509,Fox,Loc_03,2016-10-11 00:35:10,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161011-00-35-10-IMG_0101.jpg,Cam5,Loc_03_Cam5,2.68847093311127,0.138405941814775
145,840,116,1417,161,Fox,Loc_03,2016-10-12 02:16:42,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161012-02-16-42-IMG_0111.jpg,Cam5,Loc_03_Cam5,1.56171846715712,0.151093153147796
146,850,117,1353,284,Fox,Loc_03,2016-10-13 02:07:42,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161013-02-07-42-IMG_0121.jpg,Cam5,Loc_03_Cam5,1.82641871327203,0.126487652380725
147,800,118,926,710,Fox,Loc_03,2016-10-05 23:02:17,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161005-23-02-17-IMG_0071.jpg,Cam5,Loc_03_Cam5,3.95716140402472,-0.0376771730495776
