"","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean","n_points","n_detected"
"1","middle",1,1,0.196016974652999,0.304069523462201,0.404886666971243,0.179897099792201,0.243496987680914,0.174137949635222,0.193487748494358,0.0937437378465333,0.10743870472559,0.171077898745274,0.188224740610427,0.0933517341664305,0.104815634774422,0.141697068134352,0.120952011558725,0.0719628704750655,0.0548003859735565,0.133634972736531,0.133166826452718,0.070619188874556,0.0700731383710533,24.2130268906278,11.7266155012179,0.942922136654798,0.35631746608688,2687,821
"2","middle",1,2,0.196106627500076,0.398166784449224,0.397317918897481,0.192748571002945,0.236603106905566,0.204753444098878,0.202873380366729,0.0919982496249505,0.104185401559358,0.19578845707161,0.200664979171084,0.0929678856623843,0.104787877647432,0.133358456035354,0.1525244743614,0.0679058983288715,0.0665876104785753,0.138088317328494,0.153996644452544,0.0710319564466079,0.0770764526357062,29.877907405708,12.0139276375919,0.664942509757737,0.354672523139136,3198,1063
"3","middle",1,3,0.194868349436039,0.296202524301064,0.401425763706279,0.169750955146261,0.225023798197704,0.186412638213343,0.200941043630884,0.0941371260572622,0.105701402287066,0.1839207171777,0.195449942165978,0.0952718611875048,0.10455996275074,0.162345985355885,0.132553723464621,0.0806197181534098,0.0646337509834773,0.147329330536457,0.138129603997378,0.0762474700417457,0.0716792340139545,26.6690628439679,13.9784284292375,0.921734233384155,0.36433451704028,3146,1074
"4","middle",1,4,0.196399468345513,0.37056551630384,0.427117104538017,0.191741163229932,0.244463097848571,0.177338256763472,0.211635617362545,0.0909734333950173,0.103628996057704,0.178565473123983,0.210729484653743,0.0905792595353022,0.102405044770057,0.118400357565936,0.148645370292785,0.0616408911625911,0.0531071873241021,0.124516758544051,0.152096946488294,0.0660108205648916,0.070137411700083,18.7133979439749,18.2266769069192,0.706292221480527,0.389387713257938,3148,934
"5","middle",1,5,0.195237789837324,0.298708827091489,0.383033933195423,0.165335844866213,0.212152296825512,0.187043269406557,0.18213741711261,0.0852661678946149,0.0941053127860604,0.183158797639112,0.182873843063606,0.0842013094806425,0.0914753549806533,0.160461584241642,0.130699346807778,0.0645585395861505,0.0506471887090247,0.146684679447841,0.13806072921891,0.0647803457331844,0.0631442611985498,26.7743749407471,15.36521036812,0.881739351033784,0.353391493406816,3399,1097
"6","middle",1,6,0.197626620054062,0.426575380151384,0.456259599109868,0.223775285592551,0.284543319603639,0.219640296706051,0.216897445262045,0.117323145601435,0.132194072584469,0.212956863351783,0.214231141468531,0.116118001027911,0.129390369266474,0.151019598428163,0.146574631830567,0.0899358718050905,0.080825147737824,0.153498620461025,0.15831564229512,0.0886767873814369,0.0915461882130718,24.1719934552045,12.3704162093967,0.933099703627099,0.390315853648848,2839,776
"7","middle",1,7,0.194947310222051,0.403554028922308,0.432865479187623,0.216425100478108,0.272268819605537,0.214993929067885,0.209311764860505,0.103278838728331,0.117388706797982,0.21248872810841,0.208276954745854,0.105031604110488,0.118221117460284,0.166491529760086,0.146822784526451,0.0784454161629766,0.0705050837404696,0.162709070113295,0.154310023056172,0.0817347750467067,0.0847416092996134,24.8631852448275,13.5361759627076,0.780964818906915,0.404326692045815,2796,764
"8","middle",1,8,0.197414571106282,0.339893971629121,0.397466045529923,0.179220452601818,0.229711358735908,0.173567529041717,0.197444923595124,0.0835618696590627,0.0953582293070563,0.169340022306309,0.19387657514982,0.0882818886266043,0.0991786098278182,0.119661396357964,0.136668809747369,0.0659196914929853,0.0568747739872145,0.12167022177524,0.141879714914685,0.0671951148506696,0.069577040252691,27.1809519972287,13.0108018762237,0.709198137682801,0.377007610490081,3143,1038
"9","middle",5,1,0.269926061750356,0.462072020794493,0.530970587889672,0.248441254809372,0.341310410865236,0.251140908416103,0.260825378619736,0.131379821833596,0.155069500674164,0.243418643149158,0.261656099294151,0.131056043071505,0.153179364366519,0.185858051989829,0.194385360190287,0.103827920269763,0.094832122134524,0.181099676772315,0.199722100320525,0.101295286166618,0.1090625477788,36.2579919213709,22.373544011315,0.910791504279203,0.484663875922815,2881,985
"10","middle",5,2,0.266890319096535,0.405489320667113,0.504539976018356,0.232964108404021,0.313706290462865,0.247894535079636,0.271344612327189,0.125324470099797,0.146228959601922,0.244238373702904,0.272289876905651,0.125617753788843,0.145003567613911,0.212965981595944,0.224027412990911,0.100986858853151,0.0948046427427498,0.195985834618745,0.217715951364788,0.0967549704859665,0.104501159058191,36.6205233465969,28.1300564603836,0.720539630026201,0.503682964021616,3405,1140
"11","middle",5,3,0.269424514158269,0.478830142630211,0.598453150059709,0.264714638602815,0.372485993180911,0.270727597970183,0.293167085522576,0.123750876268304,0.14847119629604,0.269087503950606,0.287487029029937,0.123333347974487,0.14602336346664,0.228954659324313,0.196345269720223,0.0832132540101251,0.0600512697537793,0.219775301221777,0.207037695801763,0.0905314031843217,0.096886561246617,32.3874632093011,27.2100323225707,1.05609043560119,0.554943520730294,2825,947
"12","middle",5,4,0.267662300838216,0.461282096152456,0.516973811281725,0.249005153338856,0.331792569587818,0.24674921213533,0.262700553433546,0.128967612815708,0.151341008587326,0.241829816487859,0.262717500216374,0.133001499936051,0.154270110323661,0.185988782616192,0.198488111350045,0.11116981355952,0.104713483867246,0.181615396485627,0.198069971103526,0.109191098176196,0.113754618116243,33.3382407854093,22.418943845136,0.892659351583965,0.478682209749878,3119,992
"13","middle",5,5,0.268302596068205,0.460209139841814,0.529746017410041,0.231326627245301,0.313928006776556,0.229145527793445,0.251559622552956,0.110898010747217,0.129687229529175,0.221358425608054,0.251536265690481,0.109252447465243,0.126678605248003,0.15103590937156,0.179892919775386,0.0743868143315793,0.0608079501689658,0.159670319792149,0.191693064340241,0.079836862129783,0.0868003953974329,35.9388698135279,30.1238269504952,0.851751549992181,0.490687984532396,3449,1130
"14","middle",5,6,0.270052432367544,0.412997811766976,0.529532086930882,0.226877091850655,0.318956864294467,0.227978162085779,0.247845223107613,0.105649546346485,0.124770242966398,0.226776807449632,0.253378179431984,0.105716179044921,0.12357914529422,0.184784890912092,0.184807225197726,0.0726768809922498,0.053385243212588,0.175510973001145,0.195136361735066,0.0788927999190933,0.084485609575045,35.5046099742859,27.2918546697581,1.02296133711957,0.487723498358259,3303,1106
"15","middle",5,7,0.269425645152734,0.441634475995801,0.52412830225958,0.228834445001882,0.316314548827135,0.257757336419768,0.268496492977254,0.121329557340913,0.142501889598589,0.253815459583599,0.270950554395923,0.121027127430842,0.140493390657333,0.216645761934354,0.217069809157164,0.0972428889608384,0.0866659032241208,0.204885654252075,0.216798400941491,0.0952271652866663,0.100891157282555,30.1573442414113,20.5460953926038,0.871944170226425,0.490733204844481,2879,940
